wellID,address
601990,154 CALVERY Waltham MA
654373,200 SMITH STREET Waltham MA
153655,45 Leslie Road Waltham MA
607189,1033 TRAPELO RD Waltham MA
626148,1025 TRAPELO ROAD Waltham MA
635881,618 LINCOLN STREET Waltham MA
157073,892 Lexington Street Waltham MA
658459,225 WYMAN ST. Waltham MA
631122,840 WINTER ST Waltham MA
251944,175 Wyman Street Waltham MA
606826,175 WYMAN STREET Waltham MA
263374,175 Wyman Street Waltham MA
263372,175 Wyman Street Waltham MA
161158,380 Trapelo Road Waltham MA
252156,210 West Street Waltham MA
250965,40 Sylvan Street Waltham MA
255654,511 Totten Pond Road Waltham MA
250596,399 Trapelo Road Waltham MA
641630,470 TOTEN POND ROAD Waltham MA
142368,40 Sylvan Road Waltham MA
163159,85 First Avenue Waltham MA
652089,124 WEST STREET Waltham MA
626388,424 TRAPELO RD Waltham MA
602522,153 SECOND STREET Waltham MA
651483,135 SECOND AVENUE Waltham MA
657934,288 SECOND ST Waltham MA
662764,341 SECOND ST Waltham MA
146057,411 Waverly Oaks Road Waltham MA
651092,1265 MAIN ST Waltham MA
608388,215 LEXINGTON ST Waltham MA
255475,225 Waverly Oaks Road Waltham MA
604787,228 WAVERLY OAKS ROAD Waltham MA
153005,70 Clematis Avenue Waltham MA
159410,20 Clematis Avenue Waltham MA
160740,167 Lexington Street Waltham MA
657755,155 BEAR HILL RD Waltham MA
651401,73 POND ST Waltham MA
652340,110 LEXINGTON ST Waltham MA
601759,99 LINDEN ST Waltham MA
161879,67-73 Ellison Park Waltham MA
651035,1265 MAIN ST Waltham MA
601913,49 LINDEN ST Waltham MA
157005,1265 Main Street Waltham MA
617823,386 MAIN ST Waltham MA
618881,9 NEWTON ST Waltham MA
661787,16 COMMON ST Waltham MA
603461,476 MAIN ST Waltham MA
659521,2-11 ELM AVE Waltham MA
157777,1074 Main Street Waltham MA
268234,1060 Main St Waltham MA
622070,11 ELM AVENUE Waltham MA
153847,1250 Main Street Waltham MA
146048,1250 Main Street Waltham MA
156050,1022 Main Street Waltham MA
160281,30 Elm Street Waltham MA
646778,40 JONES RD Waltham MA
644751,40 JONES RD Waltham MA
609709,65 MAIN STREET Waltham MA
255313,65 Main Street Waltham MA
650485,39 FELTON STREET Waltham MA
251387,6 Vernon Street Waltham MA
656179,42 FELTON RD Waltham MA
656186,42 FELTON RD Waltham MA
653543,40 GREEN ST Waltham MA
660979,101 ELM ST Waltham MA
250588,40 Green Street Waltham MA
652204,20 COOPER LANE Waltham MA
657879,152 GROVE ST Waltham MA
262332,20 Cooper Street Waltham MA
661515,124 PROSPECT ST Waltham MA
278474,20 Sun Street Waltham MA
650820,2 GROVE ST Waltham MA
661739,152 GROVE STREET Waltham MA
650754,210 FELTON ST Waltham MA
621037,152 PROSPECT ST Waltham MA
269505,20 Sun Street Waltham MA
149979,180 Elm Street Waltham MA
661738,152 GROVE STREET Waltham MA
642583,162 PROSPECT ST Waltham MA
162785,74 Foundry Avenue Waltham MA
257142,205 Willow Street Waltham MA
619677,47 FOUNDRY AVE Waltham MA
629229,85 RIVER ST Waltham MA
152391,41 Seyon Street Waltham MA
161584,154 Calvary Street Waltham MA
263974,234 Calvary Street Waltham MA
262335,152 High Street Waltham MA
153909,241 Crescent Street Waltham MA
610511,233-249 HIGH STREET Waltham MA
615139,233 HIGH STREET Waltham MA
